DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,CZ,2021,10494836,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,CZ,2022,10516707,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2013,80523746,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2014,80767463,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2015,81197537,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2016,82175684,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2017,82521653,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2018,82792351,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2019,83019213,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2020,83166711,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2021,83155031,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DE,2022,83237124,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2013,5602628,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2014,5627235,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2015,5659715,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2016,5707251,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2017,5748769,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2018,5781190,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2019,5806081,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2020,5822763,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2021,5840045,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,DK,2022,5873420,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EE,2013,1320174,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EE,2014,1315819,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EE,2015,1314870,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EE,2016,1315944,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,TOTAL,T,EE,2017,1315635,
