DATAFLOW,LAST UPDATE,freq,unit,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DE,2018,15387,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DE,2019,17023,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DE,2020,14427,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DE,2021,9316,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2013,12349,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2014,12403,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2015,13041,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2016,12717,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2017,12638,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2018,13096,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2019,13548,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2020,5386,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,DK,2021,6446,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2013,122,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2014,97,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2015,55,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2016,103,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2017,107,
ESTAT:RAIL_PA_TYPEPAS(1.0),13/10/23 23:00:00,A,THS_PAS,INTL,EE,2018,107,
