DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2015,176146,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2016,178766,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2017,182724,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2018,189288,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2019,193569,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2020,129308,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2021,135083,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,CZ,2022,174327,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2013,2612764,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2014,2693080,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2015,2684908,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2016,2813782,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2017,2831443,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2018,2880558,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2019,2938023,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2020,1752198,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DE,2021,1761388,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2013,206160,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2014,208311,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2015,212253,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2016,211399,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2017,206566,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2018,205307,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2019,206601,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2020,133900,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,DK,2021,134076,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,EE,2013,4199,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,EE,2014,5905,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,EE,2015,6659,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,EE,2016,6926,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,EE,2017,7433,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,EE,2018,7759,
ESTAT:RAIL_PA_TOTAL(1.0),06/09/23 23:00:00,A,THS_PAS,EE,2019,8373,
